Class,Primary Stat,Base HP,Save1,Save2,Armor,Shield?,Weapons
Barbarian,STR,12,STR,CON,Medium,Yes,Martial
Bard,CHA,8,DEX,CHA,Light,NA,Simple
Cleric,CON,8,WIS,CHA,Medium,Yes,Simple
Druid,WIS,8,INT,WIS,Medium (Nothing Metal),Yes (Nothing Metal),Unique
Fighter,STR,10,STR,CON,All,Yes,Martial
Monk,DEX,8,STR,DEX,NA,NA,Simple
Paladin,STR,10,WIS,CHA,All,Yes,Martial
Ranger,DEX,10,STR,DEX,Medium,Yes,Martial
Rogue,DEX,8,DEX,INT,Light,NA,Simple
Sorcerer,CHA,6,CON,CHA,NA,NA,Unique
Warlock,CHA,8,WIS,CHA,Light,NA,Simple
Wizard,INT,6,INT,WIS,NA,NA,Unique
